Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL,Price_numeric
Nissan Serena 2019,9.5/10,86%,100%,100%,95%,100%,2019.0,"43,576 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/nissan-serena-2019-for-sale-in-gujranwala-8096514,9500000.0
Honda Vezel e-HEV Z 2021,9.8/10,95%,100%,100%,100%,100%,2021.0,"22,528 km",Hybrid,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-vezel-2021-for-sale-in-lahore-8044635,12900000.0
Honda City 1.5L ASPIRE CVT 2021,9.0/10,67%,100%,100%,96%,100%,2021.0,"18,452 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-8119274,5000000.0
Hyundai Tucson AWD A/T Ultimate 2022,10/10,100%,100%,100%,100%,100%,2022.0,"11,124 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-islamabad-7979808,9000000.0
Hyundai Tucson FWD A/T GLS Sport 2020,9.1/10,75%,100%,100%,91%,100%,2020.0,"39,744 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2020-for-sale-in-faisalabad-7908317,7500000.0
Honda Vezel e-HEV Play 2022,9.7/10,91%,100%,100%,99%,100%,2022.0,"5,791 km",Hybrid,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-vezel-2022-for-sale-in-lahore-8044290,16000000.0
KIA Picanto 1.0 AT 2022,9.9/10,95%,100%,100%,100%,100%,2022.0,"5,300 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-lahore-7985414,3600000.0
Hyundai Tucson FWD A/T GLS Sport 2020,10/10,99%,100%,100%,98%,100%,2020.0,"45,549 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2020-for-sale-in-faisalabad-8094836,7400000.0
Toyota Corolla Altis Automatic 1.6 2019,9.3/10,84%,100%,100%,90%,100%,2019.0,"39,040 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-8134321,4990000.0
Haval Jolion Top 2021,9.7/10,90%,100%,100%,94%,100%,2021.0,"51,137 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/haval-jolion-2021-for-sale-in-lahore-7929357,7900000.0
Hyundai Sonata 2.5 2021,9.9/10,98%,98%,100%,100%,100%,2021.0,"53,831 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-sonata-2021-for-sale-in-rawalpindi-8019987,10000000.0
